mission,step_id,step_title,on_screen_text,location_zone,trigger,target_ids,required_items,choice_branch,success_condition,next_step_on_success,next_step_on_alt,adds_flags,removes_flags,increments,rewards,failure_condition,comments
M1 - El Coche Fantasma,M1-01,Localiza el coche abandonado,Misión: El Coche Fantasma — Ve a las afueras (suroeste) y localiza el coche fantasma.,Auto_Abandonado_Area,EnterZone,Z_Auto,,,Jugador entra a Z_Auto,M1-02,,M1_SeenCar=1,,Sospecha:+0,,,Activar marcador en minimapa/compás si usan uno.
M1 - El Coche Fantasma,M1-02,Acercate al carro y fotografía la placa,Acercate al coche y toma una foto de la placa raspada.,Auto_Abandonado_Area,TakePhoto,OBJ_PlacaRaspada,Camara,,Foto válida de OBJ_PlacaRaspada,M1-03,,EVID_PlacaFoto=1,,Sospecha:+0.1,,,Mostrar contador de evidencias 1/3.
M1 - El Coche Fantasma,M1-03,Encuentra la llave del maletero,Revisa el interior: busca bajo el asiento del conductor para hallar la llave del maletero.,Auto_Interior,Interact,Llave de coche,,,Jugador recoge Llave de coche,M1-04,,HAS_LlaveMaletero=1,,Sospecha:+0,,,El ítem aparece tras inspeccionar el asiento (prompt).
M1 - El Coche Fantasma,M1-04,Abre el maletero y recolecta evidencias,Abre el maletero y recolecta el paquete y la nota con nombres.,Auto_Exterior,Interact + Interact,"ITEM_Paquete,ITEM_NotaNombres",Llave de coche,,Jugador tiene ITEM_Paquete & ITEM_NotaNombres,M1-05,,EVID_Nota=1,,Sospecha:+0.2,,,Contador evidencias 2/2 completado.
M1 - El Coche Fantasma,M1-05,Ve al mercado e interroga a Don Tomás,Dirígete al mercado e interroga a Don Tomás sobre el paquete.,Mercado_Area,Dialogue,NPC_DonTomas,ITEM_Paquete,,Diálogo con NPC_DonTomas completado,M1-06,,DIA_DonTomasDone=1,,Sospecha:+0,,,Opciones de diálogo varían si muestras ITEM_Paquete.
M1 - El Coche Fantasma,M1-06,Decisión con Claudia Varela,Habla con Claudia Varela. ¿Entregarás las pruebas o las guardarás?,Mercado_Area,Dialogue + Choice,NPC_Claudia,"ITEM_Paquete, ITEM_NotaNombres","ENTREGAR / GUARDAR",Elección hecha,M1-07A,M1-07B,,,Sospecha:+0,,,Rama A=ENTREGAR; Rama B=GUARDAR. Flags condicionales movidos a 07A/07B.
M1 - El Coche Fantasma,M1-07A,Visita el garaje (con referencia de Claudia),"Gracias a Claudia, el dueño del garaje acepta hablar contigo.",Garaje_Area,EnterZone + Dialogue,"Z_Garaje,NPC_SrOcampo",,,Diálogo con NPC_SrOcampo,M1-08,,Confianza_Claudia=1,ITEM_Paquete=1,Sospecha:+0.1,"Marca pista: Huella_neumatico",,"El NPC suelta pista sin conflictos. (Ruta ENTREGAR)"
M1 - El Coche Fantasma,M1-07B,Investiga el garaje (entrada lateral),Investiga el garaje por tu cuenta y toma una foto de las huellas de neumático.,Garaje_Area,TakePhoto,OBJ_HuellaNeumatico,Camara,,Foto válida de OBJ_HuellaNeumatico,M1-08,,Confianza_Claudia=0,,Sospecha:+0.3,,,Aumenta sospecha por allanamiento. (Ruta GUARDAR)
M1 - El Coche Fantasma,M1-08,Escapa del perseguidor,¡Te siguen! Sube a un carro y despístalo conduciendo hasta la zona segura (plaza central).,Pueblo_Calles,Chase + ReachZone,"E_Perseguidor,Z_Segura_Plaza","LlaveCarro o puzzle encendido forzado",,Jugador entra a Z_Segura_Plaza mientras distancia>umbral,M1-09,,CHASE1_Completed=1,,Sospecha:+0.2,,"Si el perseguidor alcanza al jugador -> reiniciar desde M1-08","Temporizador 30s o distancia > X."
M1 - El Coche Fantasma,M1-09,Ve a la Casa y Conecta las Pistas,Vuelve a tu casa. Usa la pizarra para conectar la **Foto de la Placa** el **Paquete** y la **Nota**.,Casa_Player_Area,EnterZone,Z_CasaPlayer,,,Jugador entra a Z_CasaPlayer,M1-09A,,,,Sospecha:+0,,,El jugador entra a su casa e inicia la fase de puzzle.
M1 - El Coche Fantasma,M1-09A,Conecta las pistas en la pizarra,Abre la pizarra y conecta: **(Placa raspada) → (Paquete) → (Nombre en la Nota)**.,UI_Pizarra,SolveGraph,"NODE_Placa,NODE_Paquete,NODE_NotaNombres",,,Grafo coincide con patrón esperado,M2-01,,M1_Completed=1,,Sospecha:+0,Desbloquea M2,,Mostrar cinemática corta o diálogo final M1.

M2 - La Taberna de los Secretos,M2-01,Entra a la taberna,Misión: La Taberna de los Secretos — Entra a la taberna del este del pueblo.,Taberna_Entrada,EnterZone,Z_Taberna,,,Jugador entra a Z_Taberna,M2-02,,M2_In=1,,Sospecha:+0,,,
M2 - La Taberna de los Secretos,M2-02,Habla con el cantinero Bruno,"Habla con Bruno, el cantinero. Gana acceso al salón trasero.",Taberna_Barra,Dialogue,NPC_Bruno,,Mostrar evidencia / No mostrar,"Diálogo completado (si muestras evidencia, acceso directo)",M2-03A,M2-03B,"if Mostrar evidencia -> Acceso_Trasero=1",,Sospecha:+0,,,Evidencias válidas: EVID_PaqueteFoto o EVID_Nota.
M2 - La Taberna de los Secretos,M2-03A,Acceso por la puerta trasera (con evidencia),Abre la puerta y entra a la sala privada Recoge la carpeta.,Taberna_PuertaTrasera,Pickup,ITEM_AccesoSalaPrivada,"Acceso_Trasero=1",,Objeto recogido,M2-04,,,,Sospecha:+0.1,,,
M2 - La Taberna de los Secretos,M2-03B,Acceso alterno (sin evidencia),Busca una llave para entrar a la sala privada y recoge la Carpeta.,Taberna_PuertaTrasera,Pickup,ITEM_AccesoSalaPrivada,,,Jugador recoje ITEM,M2-04,,,,Sospecha:+0.2,,"Llave en abrigo colgado; distracción = activar jukebox/ruido."
M2 - La Taberna de los Secretos,M2-04,Fotografía reunión sospechosa,"Desde la sala privada, fotografía los recibos que estan en el suelo.",Taberna_SalaPrivada,TakePhoto,OBJ_Reunion,Camara,,Fotos válidas de OBJ_Reunion y OBJ_Recibos,M2-05,,"EVID_ReunionFoto=1;EVID_RecibosFoto=1",,Sospecha:+0.2,,,Reforzar con subtítulo 'Evidencias clave 2/3'.
M2 - La Taberna de los Secretos,M2-05,Consigue documento vinculado a la iglesia,Encuentra y toma el documento que vincula pagos con la iglesia (Este esta afuera de la tarbena pero cerca).,Taberna_Oficina,Pickup,ITEM_DocParroquia,,,Jugador recoge ITEM_DocParroquia,M2-06,,EVID_DocParroquia=1,,Sospecha:+0.2,,,Documento en cajón o archivador.
M2 - La Taberna de los Secretos,M2-06,Ve a la iglesia y confronta al Padre Lázaro,Ve a la iglesia y decide si confrontas al Padre Lázaro o esperas.,Iglesia_Interior,Dialogue + Choice,NPC_PadreLazaro,"EVID_RecibosFoto OR EVID_DocParroquia","Confrontar / Esperar",Elección hecha,M2-07A,M2-07B,"if Confrontar -> ConflictoIglesia=1",,Sospecha:+0.3,,,
M2 - La Taberna de los Secretos,M2-07A,Escape tenso (uso puntual de arma),Apaga la luz disparando a la lámpara y escapa de la iglesia.,Iglesia_Interior,ShootTarget + ReachZone,"OBJ_LamparaTecho,Z_SalidaIglesia",Arma,,OBJ_LamparaTecho destruida y jugador en Z_SalidaIglesia,M2-08,,SHOT_Lampara=1,,Sospecha:+0.4,,"Si el jugador es bloqueado >20s, dar pista alternativa (distracción).","No letal."
M2 - La Taberna de los Secretos,M2-07B,Retirada silenciosa,Sal de la iglesia sin ser visto. Decidiste esperar.,Iglesia_Interior,ReachZone,Z_SalidaIglesia,,,Jugador llega a Z_SalidaIglesia sin ser detectado,M2-08,,STEALTH_Iglesia=1,,Sospecha:+0.1,,"Si es detectado, reiniciar desde M2-07B o permitir ruta de tiro a lámpara (M2-07A).",
M2 - La Taberna de los Secretos,M2-08,Ve a la Casa y Conecta las Pistas,Vuelve a tu casa. Usa la pizarra para conectar las pistas.,Casa_Player_Area,EnterZone,Z_CasaPlayer,,,Jugador entra a Z_CasaPlayer,M2-08A,,,,Sospecha:+0,,,El jugador entra a su casa e inicia la fase de puzzle.
M2 - La Taberna de los Secretos,M2-08A,Conecta las pistas en la pizarra,Abre la pizarra y conecta: (Recibos) → (Doc Parroquia) → (Padre Lázaro) → (Taberna).,UI_Pizarra,SolveGraph,"NODE_Recibos,NODE_DocParroquia,NODE_Lazaro,NODE_Taberna",,,Grafo coincide con patrón esperado,M2-END,,M2_Completed=1,,Sospecha:+0,Desbloquea Cinemática final/Cliffhanger,,Cierra el prototipo.
